21:24:12  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  52
21:24:12  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  59
21:24:12  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  56
21:24:12  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  60
21:24:12  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  63
21:24:12  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  73
21:24:12  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  48
21:24:12  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  50
21:24:12  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  65
21:24:12  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  69
21:24:12  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  114
21:24:12  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  123
21:24:12  |  Core  |  Info  |  Gui successfully shutdown  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  173
